Date,Close/Last,volume,open,High,Low
07/16/2019, $137.08,22726130, $138.96, $139.05, $136.52
07/15/2019, $138.9,16651460, $139.44, $139.54, $138.46
07/12/2019, $138.9,18936830, $138.85, $139.13, $138.0099
07/11/2019, $138.4,22327940, $138.2, $139.22, $137.87
07/10/2019, $137.85,24204360, $137.13, $138.58, $137.02
07/09/2019, $136.46,19953100, $136, $136.97, $135.8
07/08/2019, $136.96,16779750, $136.4, $137.1, $135.3701
07/05/2019, $137.06,18141140, $135.94, $137.33, $135.72
07/03/2019, $137.46,13629300, $136.8, $137.74, $136.295
07/02/2019, $136.58,15237840, $136.12, $136.59, $135.34
07/01/2019, $135.68,22654160, $136.63, $136.7, $134.97
06/28/2019, $133.96,30042970, $134.57, $134.6, $133.1558
06/27/2019, $134.15,16557480, $134.14, $134.71, $133.51
06/26/2019, $133.93,23657750, $134.35, $135.74, $133.6
06/25/2019, $133.43,33327420, $137.25, $137.59, $132.73
06/24/2019, $137.78,20628840, $137, $138.4, $137
06/21/2019, $136.97,36727890, $136.58, $137.73, $136.46
06/20/2019, $136.95,33042590, $137.45, $137.66, $135.72
06/19/2019, $135.69,23744440, $135, $135.93, $133.81
06/18/2019, $135.16,25934460, $134.19, $135.24, $133.57
06/17/2019, $132.85,14517790, $132.63, $133.73, $132.53
06/14/2019, $132.45,17821700, $132.26, $133.79, $131.64
06/13/2019, $132.32,17200850, $131.98, $132.67, $131.56
06/12/2019, $131.49,17092460, $131.4, $131.97, $130.71
06/11/2019, $132.1,23913730, $133.88, $134.24, $131.2757
06/10/2019, $132.6,26477100, $132.4, $134.08, $132
06/07/2019, $131.4,33885590, $129.19, $132.25, $128.26
06/06/2019, $127.82,21458960, $126.44, $127.97, $125.6
06/05/2019, $125.83,24926140, $124.95, $125.87, $124.21
06/04/2019, $123.16,29382640, $121.28, $123.28, $120.6522
06/03/2019, $119.84,37983640, $123.85, $124.37, $119.01
05/31/2019, $123.68,26646770, $124.23, $124.615, $123.32
05/30/2019, $125.73,16829610, $125.26, $125.76, $124.78
05/29/2019, $124.94,22763140, $125.38, $125.39, $124.04
05/28/2019, $126.16,23128360, $126.98, $128, $126.05
05/24/2019, $126.24,14123360, $126.91, $127.415, $125.97
05/23/2019, $126.18,23603810, $126.2, $126.29, $124.74
05/22/2019, $127.67,15396490, $126.62, $128.24, $126.52
05/21/2019, $126.9,15293260, $127.43, $127.5273, $126.58
05/20/2019, $126.22,23706930, $126.52, $127.5894, $125.7607
05/17/2019, $128.07,25770540, $128.305, $130.46, $127.92
05/16/2019, $128.93,30112220, $126.75, $129.38, $126.46
